freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.02183141,9.118373492286057,-0.19647568858664127,9.1516,-0.19597,9.108933228568905,9.12782403548777,-0.2074686057813715,-0.1858327280170294
0.03232928,9.07166270435126,-0.24669053579028555,9.0879,-0.24117,9.063592280576039,9.079690074559526,-0.2557056472124083,-0.2375459708826494
0.04782734,9.010891037167688,-0.3026483379568987,9.0217,-0.28976,9.003478771490771,9.018281170083984,-0.3099659159952051,-0.2951944440610865
0.07066042,8.935171585266762,-0.363856593168237,8.9412,-0.34538,8.927822224280485,8.942278527892755,-0.37020034862150986,-0.3576164237622449
0.1044452,8.842636692245009,-0.4305303700955304,8.8429,-0.40769,8.835445105017975,8.849831683175383,-0.4362671448251667,-0.4246283187450242
0.1542753,8.73141646444335,-0.5021634381920845,8.7262,-0.47983000000000003,8.72432521078646,8.738581991278666,-0.5078065956758337,-0.49665595854017275
0.2281688,8.59803971203013,-0.5777854653882802,8.5928,-0.55937,8.590798419155304,8.60528025474288,-0.5832458592400116,-0.5725106274826562
0.33724,8.440186277016274,-0.6536417884313861,8.4404,-0.63663,8.433046592123949,8.447482224768846,-0.6590289598482679,-0.6482493928418599
0.4988825,8.256074048347973,-0.7243300418785144,8.2558,-0.70482,8.248949865761796,8.263362701276328,-0.7298228893707838,-0.7188634402621167
0.7381425,8.04736839428909,-0.7825548235642488,8.0409,-0.7669,8.040220418246014,8.05454019623893,-0.7879895561191951,-0.7769593566009696
1.089913,7.820658863118291,-0.8208410639004056,7.8129,-0.8176100000000001,7.813620865232244,7.827671395012981,-0.8264741725437961,-0.8151905942159156
1.610825,7.582947603855232,-0.8343471100023342,7.5838,-0.82916,7.57586270259539,7.589947268704881,-0.8399163639668473,-0.8289174216862509
2.384768,7.3444395664940725,-0.820996008627648,7.3338,-0.81476,7.33738416719279,7.3514365437845,-0.8264887117439629,-0.8157647561207488
3.525496,7.117861320579761,-0.7831958456930994,7.1166,-0.77064,7.1106250397632484,7.125007077729618,-0.788548557265741,-0.7777939444878175
5.2083330000000005,6.911153327887959,-0.7266551101013206,6.8998,-0.71949,6.903777243696634,6.918354103061092,-0.7319547150284128,-0.721216838493394
7.704638,6.7282835036908315,-0.6589044030319886,6.7237,-0.6484800000000001,6.721094836947211,6.735350684462636,-0.6643320971915984,-0.6535489304039291
11.38848,6.571375384123243,-0.5880227920601127,6.5736,-0.59078,6.564190741610482,6.578548654468411,-0.5934847642798059,-0.5825067972956146
16.83729,6.437709787960886,-0.5199243266733391,6.4385,-0.51376,6.43058524062588,6.444814445073763,-0.5252633635245729,-0.5145531488405959
24.88058,6.323580467224954,-0.45829047145703794,6.3225,-0.45503000000000005,6.316676780169458,6.33082673007887,-0.4635384977281126,-0.4529338182031529
36.801809999999996,6.224412934184819,-0.40401232783243146,6.2221,-0.40484000000000003,6.21757169740959,6.231562029993132,-0.4093825335154168,-0.3985952957990693
54.39082,6.137314059458888,-0.3564872186041015,6.1332,-0.35672,6.130400333972519,6.1443596193950665,-0.36188170865122216,-0.35099716899091704
80.43755999999999,6.059998993769702,-0.31405149838681734,6.0572,-0.30834,6.053001137050035,6.067072305847809,-0.319446827448206,-0.30852776419438
118.8213,5.991848482513223,-0.27555623975983856,5.9893,-0.27176,5.984872080463583,5.998923176165445,-0.2810527914626167,-0.2702251057126625
175.7311,5.932191071089731,-0.2401342670470245,5.9342,-0.2374,5.925234866949539,5.939321985081477,-0.24563097312514995,-0.23485793805294955
259.7506,5.881059416135847,-0.20795973402759024,5.8807,-0.20725,5.873903045063363,5.888418103025718,-0.21344378977967524,-0.2026096487265574
384.1396,5.837657613195191,-0.17916928392574982,5.8348,-0.17818,5.830313502362066,5.8446900417099865,-0.1845380614098162,-0.17382219694628956
568.0007,5.800943922666212,-0.1541165944050223,5.7999,-0.15224000000000001,5.793654386371264,5.808035197720052,-0.15961408462207163,-0.14864685356948276
839.194,5.76969748266637,-0.13277343256530022,5.7666,-0.13625,5.762468836781784,5.776715562303777,-0.1382932642495533,-0.12720216111652558
1240.397,5.742481031785811,-0.11466943133274138,5.7405,-0.11454,5.735206718932715,5.749457039290722,-0.12023598480320179,-0.1090175834227591
1835.5870000000002,5.718216482436441,-0.09899221074201625,5.7161,-0.099199,5.710848232570899,5.7251774267534135,-0.10443638559366723,-0.09336378393979837
2710.867,5.696324837531735,-0.08480403161482741,5.6929,-0.086715,5.689094000600806,5.703390271695537,-0.09021278501544111,-0.07926015037472359
4011.283,5.676242173738087,-0.07087100188439946,5.6758,-0.069143,5.6691008030482735,5.683094310676766,-0.0764001346906679,-0.0652946558187209
5937.732,5.657745375715519,-0.05604645489294131,5.6559,-0.059222000000000004,5.650794155908585,5.664798311504135,-0.06162967769195042,-0.05044468178069471
8763.363000000001,5.641048941895675,-0.039187929142918486,5.6392,-0.04384,5.634152817758545,5.648222317365552,-0.044870049759585626,-0.033513952750021864
12952.79,5.625714834668175,-0.018413990679319633,5.6231,-0.023655000000000002,5.618784456915957,5.633072423696439,-0.024434663657178786,-0.012373068190613111
19150.83,5.611708667018492,0.008412310099583008,5.6082,0.0027788,5.604463208065103,5.619213166917964,0.001956976210374379,0.014897716981603923
28317.99,5.598720759132661,0.044697845548658896,5.5983,0.038494,5.591345610584412,5.606303333838095,0.03739851403757467,0.05179655604379497
41864.61,5.586439123759787,0.09554272623502451,5.5889,0.089912,5.578991708753329,5.594036604122841,0.08695044126485299,0.10423974303552012
61896.9,5.574606785174261,0.168789437580038,5.5795,0.16222999999999999,5.567313040772888,5.581917451422368,0.1575939538580988,0.18023168983843174
91504.6,5.563427338896755,0.27573833324690517,5.5689,0.27307,5.556031241384559,5.570731206128214,0.2599025471311478,0.2911790345711823
135280.6,5.553716382063104,0.43235318981739446,5.5587,0.43194,5.544851174247164,5.562571543522017,0.4094565663639203,0.4541695344330414
199998.1,5.54632874960773,0.6615943995005852,5.5473,0.6685,5.534259448226161,5.557866968503341,0.6275776186056707,0.6942699219491655
