lower_bound_constr,upper_bound_constr
0.010115411798582958,1.534660965183767
0.014414943773915894,0.717379445370847
0.0057659210371063365,0.5545398261302852
0.008638200901515486,0.5167326457197965
0.014963279279126648,0.5503281050441501
0.020374758113501472,0.5599927229199574
0.019721453448332524,0.5685066611360532
0.014806492426705915,0.5687691464530811
0.021841213263300064,0.6147042880211944
0.047028673274979255,0.6852597858943255
0.08425532952098935,0.7630609199954969
0.11301399864039496,0.8143410465045108
0.10065194430341706,0.823349028657886
0.08584356651526415,0.8433587479488264
0.12929835497719275,0.9066369561068476
0.26450837890983003,1.0539973739581183
0.4259421565081625,1.2269893310064863
0.5357933102124862,1.3396121736033058
0.551171834779505,1.3801985593678205
0.6047047504696766,1.4331529537644554
0.8527890301358683,1.674091354097751
1.3412145482825655,2.1649124417712606
1.9403785686371933,2.784014195934396
2.3867298073228422,3.234006788482832
2.588846586535658,3.43631435839607
2.781036118619741,3.6275387922451543
3.315158911721645,4.163643707718301
4.459550217681654,5.300901365663342
5.852024976271955,6.704040510028768
6.916118028622258,7.759173610956176
7.18689751506409,8.0274340337435
6.968240450725548,7.822726488465473
7.141389833320718,7.999924774485458
8.476724342789156,9.342747656077407
10.805737888851946,11.630991383595914
12.813906422254176,13.692074130562384
12.975736880298218,13.871616397688863
10.672259239723955,11.456182408992616
6.4462544799339385,7.364679621883248
2.25105194812919,3.3826822742307967
0.0036195011996177514,0.9394183654451314
0.0022871049884570826,0.8505007672766234
0.20835980894231365,3.588363664855455
