Freq,Re,Im
199998.1,5.5473,0.6685
135280.6,5.5587,0.43194
91504.6,5.5689,0.27307
61896.9,5.5795,0.16223
41864.61,5.5889,0.089912
28317.99,5.5983,0.038494
19150.83,5.6082,0.0027788
12952.79,5.6231,-0.023655
8763.363,5.6392,-0.04384
5937.732,5.6559,-0.059222
4011.283,5.6758,-0.069143
2710.867,5.6929,-0.086715
1835.587,5.7161,-0.099199
1240.397,5.7405,-0.11454
839.194,5.7666,-0.13625
568.0007,5.7999,-0.15224
384.1396,5.8348,-0.17818
259.7506,5.8807,-0.20725
175.7311,5.9342,-0.2374
118.8213,5.9893,-0.27176
80.43756,6.0572,-0.30834
54.39082,6.1332,-0.35672
36.80181,6.2221,-0.40484
24.88058,6.3225,-0.45503
16.83729,6.4385,-0.51376
11.38848,6.5736,-0.59078
7.704638,6.7237,-0.64848
5.208333,6.8998,-0.71949
3.525496,7.1166,-0.77064
2.384768,7.3338,-0.81476
1.610825,7.5838,-0.82916
1.089913,7.8129,-0.81761
0.7381425,8.0409,-0.7669
0.4988825,8.2558,-0.70482
0.33724,8.4404,-0.63663
0.2281688,8.5928,-0.55937
0.1542753,8.7262,-0.47983
0.1044452,8.8429,-0.40769
0.07066042,8.9412,-0.34538
0.04782734,9.0217,-0.28976
0.03232928,9.0879,-0.24117
0.02183141,9.1516,-0.19597
