freq,Real,Imag
1.00E+05,1.82E+00,-1.36E-01
8.57E+04,1.82E+00,-1.10E-01
7.35E+04,1.82E+00,-8.98E-02
6.30E+04,1.83E+00,-7.07E-02
5.40E+04,1.83E+00,-5.46E-02
4.62E+04,1.83E+00,-4.07E-02
3.96E+04,1.83E+00,-2.79E-02
3.40E+04,1.84E+00,-1.74E-02
2.91E+04,1.84E+00,-7.75E-03
2.49E+04,1.84E+00,4.63E-04
2.14E+04,1.85E+00,8.58E-03
1.83E+04,1.85E+00,1.59E-02
1.57E+04,1.85E+00,2.19E-02
1.35E+04,1.86E+00,2.84E-02
1.15E+04,1.86E+00,3.38E-02
9.89E+03,1.87E+00,3.92E-02
8.54E+03,1.87E+00,4.41E-02
7.27E+03,1.88E+00,4.95E-02
6.23E+03,1.88E+00,5.42E-02
5.39E+03,1.89E+00,5.85E-02
4.57E+03,1.89E+00,6.37E-02
3.92E+03,1.90E+00,6.87E-02
3.36E+03,1.91E+00,7.38E-02
2.88E+03,1.91E+00,7.87E-02
2.47E+03,1.92E+00,8.46E-02
2.12E+03,1.93E+00,9.06E-02
1.81E+03,1.94E+00,9.64E-02
1.55E+03,1.95E+00,1.03E-01
1.33E+03,1.96E+00,1.10E-01
1.14E+03,1.96E+00,1.17E-01
9.78E+02,1.98E+00,1.25E-01
8.38E+02,1.99E+00,1.34E-01
7.18E+02,2.00E+00,1.41E-01
6.16E+02,2.01E+00,1.50E-01
5.27E+02,2.02E+00,1.59E-01
4.52E+02,2.04E+00,1.70E-01
3.88E+02,2.06E+00,1.80E-01
3.32E+02,2.07E+00,1.91E-01
2.85E+02,2.09E+00,2.03E-01
2.44E+02,2.11E+00,2.15E-01
2.09E+02,2.13E+00,2.26E-01
1.79E+02,2.15E+00,2.40E-01
1.54E+02,2.18E+00,2.53E-01
1.32E+02,2.20E+00,2.66E-01
1.13E+02,2.23E+00,2.80E-01
9.68E+01,2.25E+00,2.92E-01
8.29E+01,2.28E+00,3.06E-01
7.10E+01,2.31E+00,3.20E-01
6.09E+01,2.35E+00,3.34E-01
5.22E+01,2.38E+00,3.47E-01
4.47E+01,2.42E+00,3.61E-01
3.83E+01,2.46E+00,3.74E-01
3.29E+01,2.49E+00,3.86E-01
2.82E+01,2.54E+00,3.98E-01
2.41E+01,2.58E+00,4.10E-01
2.07E+01,2.62E+00,4.19E-01
1.77E+01,2.67E+00,4.26E-01
1.52E+01,2.72E+00,4.32E-01
1.30E+01,2.77E+00,4.36E-01
1.12E+01,2.82E+00,4.39E-01
9.56E+00,2.87E+00,4.39E-01
8.19E+00,2.92E+00,4.35E-01
7.03E+00,2.97E+00,4.28E-01
6.02E+00,3.02E+00,4.25E-01
5.16E+00,3.06E+00,4.12E-01
4.42E+00,3.11E+00,4.01E-01
3.79E+00,3.15E+00,3.90E-01
3.25E+00,3.20E+00,3.71E-01
2.78E+00,3.24E+00,3.58E-01
2.38E+00,3.28E+00,3.38E-01
2.04E+00,3.31E+00,3.21E-01
1.75E+00,3.35E+00,3.03E-01
1.50E+00,3.37E+00,2.83E-01
1.29E+00,3.40E+00,2.63E-01
1.10E+00,3.43E+00,2.44E-01
9.46E-01,3.45E+00,2.26E-01
8.11E-01,3.47E+00,2.08E-01
6.94E-01,3.49E+00,1.90E-01
5.96E-01,3.50E+00,1.73E-01
5.11E-01,3.51E+00,1.57E-01
4.38E-01,3.53E+00,1.43E-01
3.75E-01,3.54E+00,1.28E-01
3.21E-01,3.55E+00,1.14E-01
2.75E-01,3.55E+00,1.03E-01
2.36E-01,3.56E+00,9.21E-02
2.02E-01,3.56E+00,8.25E-02
1.73E-01,3.57E+00,7.37E-02
1.49E-01,3.57E+00,6.51E-02
1.27E-01,3.58E+00,5.79E-02
1.09E-01,3.58E+00,5.14E-02
9.35E-02,3.58E+00,4.55E-02
8.01E-02,3.58E+00,4.03E-02
6.87E-02,3.59E+00,3.53E-02
5.88E-02,3.59E+00,3.11E-02
5.05E-02,3.59E+00,2.77E-02
4.33E-02,3.59E+00,2.43E-02
3.70E-02,3.59E+00,2.11E-02
3.18E-02,3.59E+00,1.88E-02
2.72E-02,3.59E+00,1.67E-02
2.33E-02,3.59E+00,1.45E-02
2.00E-02,3.59E+00,1.29E-02
